conference_acronym	conference_name	conference_location
IES 2017	The 21st Asia Pacific Symposium on Intelligent and Evolutionary Systems (IES 2017)	Hanoi, Vietnam
ACML 2017	The 9th Asian Conference on Machine Learning	Seoul, Korea
ICIIP 2017	6th International Conference on Intelligent Information Processing(ICIIP 2017)	London, UK
AIC 2017	5th International Workshop on Artificial Intelligence and Cognition	Larnaca, Cyprus
ICICT 2017	CFP - The IEEE International Conference ICICT at India, Due: 4 Aug 2017	India
ICPET 2017	International Conference on Promising Electronic Technologies 2017	Deir El-Balah, Palestine
FICC 2018	The FICC 2018 at Singapore, Paper Submission Due: August 1st 2017	Singapore
RA 2017	The 18th IASTED International Conference on Robotics and Applications	Cambridge, Massachusetts, USA
IEEE Bigcomp 2018	2018 IEEE International Conference on Big Data and Smart Computing	ShangHai, China
ICSR 2017	The 9th International Conference on Social Robotics	Tsukuba, Japan
ICAART 2018	10th International Conference on Agents and Artificial Intelligence	Funchal, Madeira, Portugal
ICPRAM 2018	7th International Conference on Pattern Recognition Applications and Methods	Funchal, Madeira, Portugal
RSL-IJCS 2017	COGNITION AND COMPUTATION	N/A
LAWCN 2017	Latin-American Workshop on Computational Neuroscience	Porto Alegre, RS, Brazil
SafeThings 2017	ACM Workshop on the Internet of Safe Things	Delft, The Netherlands
K-CAP 2017	The Ninth International Conference on Knowledge Capture	Austin, Texas, USA
WOMoCoE 2017	2nd International Workshop on Ontology Modularity, Contextuality, and Evolution	Vienna, Austria
ISWC poster&demo 2017	ISWC 2017 : 16th International Semantic Web Conference (poster and demo session)	Vienna
ICOAS - EI 2017	2017 2nd International Conference on Automation Sciences (ICOAS 2017)--EI Compendex, Scopus	Phnom Penh, Cambodia
AI Safety and Security 2017	Artificial Intelligence Safety and Security. Edited Book. Call for Book Chapters.	N/A
GCAI 2017	The 3rd Global Conference on Artificial Intelligence (GCAI 2017), Miami, USA, 18-22 October 2017	Miami, USA
ICBEB 2017	2017 International Conference on Biomedical Engineering and Bioinformatics (ICBEB 2017)--CPCI, Ei Compendex and Scopus	Bangkok, Thailand
ICIBB - Ei 2017	2017 International Conference on Innovations in Biometrics and Biostatistics (ICIBB 2017)--CPCI, Ei Compendex and Scopus	Bangkok, Thailand
ICRCA - Ei 2017	2017 The 2nd International Conference on Robotics, Control and Automation (ICRCA 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
CAIIT 2017	2017 International Conference on Artificial Intelligence and Information Technology (CAIIT 2017)--Ei&Scopus	Hong Kong
MIG 2017	ACM SIGGRAPH Conference on Motion in Games	Barcelona Spain
Algorithmic news 2018	ALGORITHMS, AUTOMATION, AND NEWS: CAPABILITIES, CASES, AND CONSEQUENCES	Munich, Germany
SPIE - ICRMV 2017	2017 The 2nd International Conference on Robotics and Machine Vision (ICRMV 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
DT 2017	Deduktionstreffen 2017	TU Dortmund, Germany
CISC 2017	1st Workshop on Computational Intelligence & Soft Computing	Portland, Oregon, USA
MIWAI 2017	The 11th Multi-disciplinary International Workshop on Artificial Intelligence	Brunei
DEAs 2017	Data Enabled Applications 2017	Universiti Teknologi Brunei
Robot 2017	Third Iberian Robotics Conference	Seville
CSI 2017	Computer Society Of Iran	Shiraz
AISP-2017	Artificial Intelligence and Signal Processing	Shiraz
IEEE ITOEC 2017	2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference	Chongqing
IEEE--ICAVE 2017	2017 International Conference on Automotive and Vehicle Engineering (ICAVE 2017)-IEEE Xplore and Ei Compendex	Singapore
ICITE 2017	2017 2nd International Conference on Intelligent Transportation Engineering (ICITE 2017)-IEEE Xplore and Ei Compendex	Singapore
ICCIA 2017	2017 the 2nd IEEE International Conference on Computational Intelligence and Applications	Beijing, China
IEEE CISDA 2017	2017 IEEE Symposium on Computational Intelligence for Security and Defense Applications	Honolulu, Hawaii, USA
ISAIR 2017	The 2nd International Symposium on Artificial Intelligence and Robotics 2017	Kitakyushu, Japan
LPKM 2017	International Workshop on Language Processing and Knowledge Management	Kerkenah Sfax Tunisia
ICIS 2017	The Second International Conference on Intelligence Science	Shanghai, China
AIAAT 2017	2017 International Conference on Artificial Intelligence Applications and Technologies(AIAAT 2017)	Hawaii, USA
CICLOPS 2017	15th International Colloquium on Implementation of Constraint and LOgic Programming Systems	Melbourne, Australia
KDWEB 2017	3rd International Workshop on Knowledge Discovery on the Web	Cagliari, Italy
CEEC 2017	9th Computer Science & Electronic Engineering Conference	Colchester, UK
RecSysKTL 2017	Workshop on Intelligent Recommender Systems by Knowledge Transfer and Learning	Como, Italy
BFAL 2017	International Conference on Brain Function Assessment in Learning	Patras
ACLing 2017	The Third International Conference on Arabic Computational Linguistics	Dubai
ISDM 2017	ISDM@INTELLI 2017 : Intelligent Support for Decision Making at INTELLI 2017	Nice, France
IJCAI - CAI4HCD 2017	IJCAI 2017 WORKSHOP ON: COGNITION AND ARTIFICIAL INTELLIGENCE FOR HUMAN-CENTRED DESIGN	Melbourne
SYNASC 2017	19th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing	Timisoara
PLP 2017	Probabilistic logic programming 2017	Orléans - France
IEEE--ISCBI 2017	ISCBI 2017 (5th International Symposium on Computational and Business Intelligence)-IEEE Xplore and Ei Compendex	Dubai, UAE
ICONIP 2017	International Conference on Neural Information Processing	Guangzhou, China
ICDME - IOP 2017	2nd International Conference on Design and Manufacturing Engineering (ICDME 2017)--Ei Compendex	Guangzhou，China
ICISIP 2017	The 5th IIAE International Conference on Intelligent Systems and Image Processing 2017	Hawaii, USA
CILC 2017	32nd Italian Conference on Computational Logic	Naples
DS 2017	The 20th International Conference on Discovery Science	Kyoto, Japan
LL@ICML 2017	Workshop on Lifelong Learning: A Reinforcement Learning Approach @ICML 2017	Sydney, Australia
AI*IA 2017	16th International Conference of the Italian Association for Artificial Intelligence	Bari
ISSEA 2017	Special Session on Intelligent Systems and Software Engineering Advances	Druskininkai, Lithuania
SocInf 2017	3rd International Workshop on Social Influence Analysis	Melbourne, Australia
7th ICITCS 2017	iCatse International Conference on IT Convergence and Security	Seoul Korea
DX 2017	28th International Workshop on Principles of Diagnosis	Brescia, Italy
WAAE 2017	IJCAI-17 Workshop on AI Applications in E-Commerce	Melbourne, Australia
IEEE--ICSGSC 2017	2017 IEEE International Conference on Smart Grid and Smart Cities (ICSGSC 2017)--IEEE Xplore and Ei Compendex	Singapore
CRC 2017	2nd International Conference on Cybernetics, Robotics and Control	Chengdu, China
