conference_acronym	conference_name	conference_location
ICSPS 2017	2017 9th International Conference on Signal Processing Systems (ICSPS 2017)--Ei Compendex and Scopus	Auckland, New Zealand
RiTA 2017	The 5th International Conference on Robot Intelligence Technology and Applications	KAIST, Daejeon, KOREA
ICITDA 2017	International Conference on Information Technology and Digital Applications	Yogyakarta, Indonesia
ICMERR 2017	2017 2nd International Conference on Mechanical Engineering and Robotics Research (ICMERR 2017)-EI Compendex, Scopus	Paris, France
ACMLC 2017	2017 Asia Conference on Machine Learning and Computing (ACMLC 2017)--EI Compendex, Scopus	Singapore
ICBRA 2017	2017 International Conference on Bioinformatics Research and Applications (ICBRA 2017)--Ei Compendex, Scopus and ISI	Barcelona, Spain
MedPRAI 2018	The Second Mediterranean Conference on Pattern Recognition and Artificial Intelligence (MedPRAI-2018)	Rabat, Morocco
ICCCB 2017	2017 International Conference on Computational Chemistry and Biology (ICCCB 2017)--EI Compendex, Scopus	Barcelona, Spain
WCICSS 2017	The World Congress on Industrial Control Systems Security	University of Cambridge
KARE 2017	KARE 2017 - The 9th International Workshop on Knowledge Acquisition Reuse & Evaluation	Jaipur, India
CSBio 2017	The 8th International Conference on Computational Systems-Biology and Bioinformatics (CSBio 2017)	NhaTrang, Vietnam
IEEE ITNEC 2017	2017 IEEE 2nd Information Technology,Networking,Electronic and Automation Control Conference	Chengdu, China
IEEE - ISCMI 2017	2017 4th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2017)--IEEE Xplore, Ei Compendex	Republic of Mauritius
ICBBE 2017	2017 4th International Conference on Biomedical and Bioinformatics Engineering (ICBBE 2017) - ACM and Ei Compendex	Seoul, South Korea
ICBEF 2017	2017 International Conference on Biometric Engineering and Forensics (ICBEF 2017)-Ei Compendex, Scopus and ISI	Seoul, South Korea
CRoNe 2017	3rd Congress on Robotics and Neuroscience	Valparaiso, Chile
ICMV 2017	2017 The 10th International Conference on Machine Vision (ICMV 2017) - SPIE	Vienna, Austria
ACM-SAC-COCO 2018	Cognitive Computing Track @ The 33nd ACM Symposium on Applied Computing - ACM SAC 2018	Pau, France
SoICT 2017	The Eighth International Symposium on Information and Communication Technology	NhaTrang, Vietnam
TAAI 2017	The 22nd Conference on Technologies and Applications of Artificial Intelligence [Deadline Extended]	Taipei, Taiwan
AAAI 2018	The Thirty-Second AAAI Conference on Artificial Intelligence	New Orleans, Louisiana, USA
PRASA-RobMech 2017	Symposium of the Pattern Recognition Association of South Africa (PRASA) and Conference of Robotics and Mechatronics (RobMech)	Central University of Technology, RSA
MVIP 2017	The 10th Iranian Conference on Machine Vision and Image Processing	Isfahan, Iran
LKE 2017	5th International Symposium on Language & Knowledge Engineering	Puebla, Mexico
CORE 2017	CORE 2017 (17th International Congress on Computer Science)	Mexico City
AI*AAL.it 2017	Third Italian Workshop on Artificial Intelligence for Ambient Assisted Living	Bari, Italy
ICOAI 2017	2017 4th International Conference on Artificial Intelligence (ICOAI 2017)	Florence, Italy
ARCS 2017	International Workshop on Advances in Robotics and Cognitive Systems (co-located with SITIS2017)	Jaipur, India
AIVR 2017	1st Workshop on Artificial Intelligence Meets Virtual and Augmented Realities (AI-VR) in conjuction with SIGGRAPH Asia	Bangkok, Thailand
